date,up,down,unchanged,limit_up,limit_down,ad_ratio,breadth_pct
2026-04-13,586,405,74,63,2,0.591321897073663,55.02347417840375
2026-04-14,650,331,85,33,2,0.6625891946992865,60.97560975609756
2026-04-15,583,389,95,31,0,0.5997942386831275,54.63917525773196
2026-04-16,677,315,63,29,0,0.6824596774193549,64.17061611374407
2026-04-17,497,494,79,41,0,0.5015136226034309,46.44859813084112
2026-04-20,462,532,75,55,1,0.4647887323943662,43.21796071094481
2026-04-21,556,425,89,45,0,0.5667686034658511,51.96261682242991
2026-04-22,478,507,83,48,1,0.4852791878172589,44.756554307116104
2026-04-23,132,897,34,14,21,0.1282798833819242,12.417685794920038
2026-04-24,312,691,63,24,7,0.3110667996011964,29.268292682926827
2026-04-27,273,732,60,17,8,0.2716417910447761,25.633802816901408
2026-04-28,655,329,80,42,2,0.665650406504065,61.56015037593985
2026-04-29,515,449,103,28,1,0.5342323651452282,48.26616682286786
2026-04-30,301,695,74,19,1,0.3022088353413654,28.13084112149533
2026-05-04,558,438,74,43,0,0.5602409638554217,52.149532710280376
2026-05-05,638,347,85,42,1,0.6477157360406092,59.62616822429907
2026-05-06,466,524,81,25,6,0.4707070707070707,43.51073762838469
2026-05-07,615,362,95,45,2,0.6294779938587513,57.36940298507462
2026-05-08,376,611,85,23,6,0.3809523809523809,35.07462686567165
2026-05-11,541,473,58,57,3,0.5335305719921104,50.46641791044776
2026-05-12,311,708,54,37,1,0.3052011776251226,28.984156570363467
2026-05-13,330,676,64,23,10,0.3280318091451292,30.8411214953271
2026-05-14,335,677,57,29,9,0.3310276679841897,31.337698783910195
2026-05-15,245,770,56,23,12,0.2413793103448276,22.875816993464053
2026-05-18,451,547,74,29,2,0.4519038076152304,42.07089552238806
2026-05-19,416,576,80,20,9,0.4193548387096774,38.80597014925373
2026-05-20,452,530,88,30,4,0.460285132382892,42.242990654205606
2026-05-21,850,156,65,60,3,0.8449304174950298,79.36507936507937
2026-05-22,625,364,82,61,2,0.6319514661274014,58.35667600373483
2026-05-25,538,469,66,74,2,0.5342601787487586,50.13979496738118
2026-05-26,433,560,83,44,3,0.4360523665659617,40.24163568773234
2026-05-27,333,672,68,25,8,0.3313432835820895,31.03448275862069
2026-05-28,408,591,72,32,5,0.4084084084084084,38.095238095238095
2026-05-29,805,202,69,42,0,0.7994041708043694,74.81412639405205
2026-06-01,767,253,54,66,1,0.7519607843137255,71.41527001862198
2026-06-02,495,502,75,46,2,0.4964894684052156,46.17537313432835
2026-06-03,751,289,37,57,1,0.7221153846153846,69.73073351903436
